artist_name,artwork_title,museum_name,on_display,thumbnail_url
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=923688786006131d
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=b2bf7f490a49419a
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=1454dd2258b860b4
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=fd7f790b1f9af655
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=e550bd4d32d5313c
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=17990f57a44fb641
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=1d0bb3483badf9b7
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=84a28fb046e83b04
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=f398eb4cd9f528df
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=cb33e8e8ef17d962
