artist_name,artwork_title,museum_name,on_display,thumbnail_url
Agnes Martin,Untitled #12,aic,0,"https://www.artic.edu/iiif/2/6b1ed7f1-8099-a808-5913-756cfd4d884a/full/1200,/0/default.jpg?w=1200&h=800&fit=crop"
Agnes Martin,Untitled,aic,0,"https://www.artic.edu/iiif/2/11bfac6a-a44c-d8e2-788a-c59db0c62917/full/1200,/0/default.jpg?w=1200&h=800&fit=crop"
Agnes Martin,Untitled #8,aic,0,"https://www.artic.edu/iiif/2/ba76091f-a117-953d-746f-5d84a1ebe355/full/1200,/0/default.jpg?w=1200&h=800&fit=crop"
